Index,Organization Id,Name,Email,Phone,Website,Country,Description,Founded,Age,Industry,Salary,Number of employees
1,FAB0d41d5b5d22c,Ferrell LLC,contactferrell.com,+919876543210,https://price,Papua New Guineaa,Horizontal empowering knowledgebase,1990,134,Plastics,-55000,3498
2,6A7EdDEA9FaDC52,Mckinney Riley Day,info@mrd,+91987654,http:/hall-buchanan.info,Finlandd,User-centric system-worthy leverage,2015,28,Glass Ceramics Concrete,62000,4952
3,0bFED1ADAE4bcC1,Hester Ltd,support@@hester.com,1234567890,https://sullivan-reed,China,Switchable scalable moratorium,1971,-5,Public Safety,71000,5287
4,2bFC1Be8a4ce42f,Holder Sellers,admin@holdersellers,+919876543213,www.becker,Turkmenistann,De-engineered systemic artificial intelligence,2004,31,Automotive,abc,921
5,9eE8A6a4Eb96C24,Mayer Group,hello@mayergroup.com,+91-9876543214,https:/brewer.com,Mauritius,Synchronized needs-based challenge,1991,39,Transportation,73000,7870
6,cC757116fe1C085,Henry Thompson,contact@henrythompson,+91987654321,https://morse.nettt,Bahamas,Face-to-face well-modulated customer loyalty,1992,200,Education,-64000,4914
7,219233e8aFF1BC3,Hansen Everett,info@hanseneverett,98765abcd1,https://kidd,Paakistan,Seamless disintermediate collaboration,2018,27,Publishing,59000,7832
8,ccc93DCF81a31CD,Mcintosh Mora,support@mcintoshmora.com,+919876543217,https://brooks.comm,Australiaa,Centralized attitude-oriented capability,1970,45,Import Export,82000,4389
9,0B4F93aA06ED03e,Carr Inc,contact@carr..com,+919876543218,https://ross..com,Kuwaitt,Distributed impactful customer loyalty,1996,38,Plastics,76000,8167
10,738b5aDe6B1C6A5,Gaines Inc,admin@gaines.com,0000000000,https://sandoval-hooper,Uzbekistann,Multi-lateral scalable protocol,1997,37,Outsourcing,-69000,9698
11,AE61b8Ffebbc476,Kidd Group,team@kiddgroup.com,+919876543220,https://lyons.com,Denmark,Proactive foreground paradigm,2001,33,Education,61000,7473
12,eb3B7D06cCdD609,Crane Clarke,hello@craneclarke,987654321,https://sandoval,Denmrk,Front-line clear-thinking encryption,2014,29,Food Beverages,72000,9011
13,8D0c29189C9798B,Keller Campos Black,contact@kcb.com,+919876543222,http://garner.info,Liberiaa,Ameliorated directional emulation,2020,126,Museums,54000,2862
14,D2c91cc03CA394c,Glover Pope,admin#gloverpope.com,+919876543223,https://silva.bizzz,United Arab Emiratess,Persevering contextually-based approach,2013,-20,Medical Practice,85000,9079
15,C8AC1eaf9C036F4,Pacheco Spears,hello@pachecospears.com,+91 987654321,https://aguilar,Swedenn,Secured logistical synergy,1984,44,Maritime,66000,769
16,b5D10A14f7a8AfE,Hodge Ayers,info@hodgeayers.com,+919876543225,https://archer-elliottcom,Hondurass,Future-proofed radical implementation,1990,35,Facilities Services,63000,8508
17,68139b5C4De03B4,68139b5C4De03B4,contact@bgk,+919876543226,https://carrillo-nicholson.com,Ugandaa,De-engineered transitional strategy,1972,46,Education,-58000,6986
18,5c2EffEfdba2BdF,Mckenzie Melton,team@mckenziemelton.com,+91987654322x,https://montoya-thompsoncom,Hong Kongg,Reverse-engineered heuristic alliance,1998,37,Investment Management,9100000000,4589
19,ba179F19F7925f5,Branch Mann,admin@branchmanncom,+919876543228,https://lozano..com,Botswanaa,Adaptive intangible frame,1999,136,Architecture Planning,70000,7961
20,FAB0d41d5b5d22c,Weiss Sons,hello@weisssons,abcdefghij,https:/barrett.com,South Koreaa,Sharable optimal functionalities,2011,30,Plastics,-67000,5984
